timestamp,flex1,flex2,flex3,flex4,flex5,pressure1,pressure2,acc_x,acc_y,acc_z,label
0,13,16,11,18,13,0.5150718025441334,0.6490718127896807,-0.9302209940968696,0.6971152882366178,-0.2367332690429598,YES
1,27,11,12,17,15,0.32577062385711264,0.49637882901113267,-0.7260779745189974,0.9969832018456395,-0.03497354699445754,YES
2,13,29,14,12,15,0.6278605061617119,0.6679490122063829,-1.5771997678713525,-0.07099063262270373,0.27887935017488164,YES
3,28,29,24,29,13,0.5406945028920914,0.6090905693187023,2.4566460411140243,0.11842197120804071,0.12842823612230608,YES
4,27,18,16,29,15,0.3604785605516244,0.7586537137252409,0.12339314781800619,0.39221031097707665,1.8404310701376783,YES
5,27,17,17,10,27,0.4613295424947052,0.3565539027519593,0.2985891934532959,-1.8054642160722962,0.4750086973048349,YES
6,14,21,16,16,22,0.39081578134691797,0.7871733464337893,-0.5017341536967936,2.4824686921472585,-0.24154237488285568,YES
7,27,15,13,23,10,0.5438181038884358,0.7543231461133766,-1.0237417905480184,0.03882366857793341,-0.029913575489769494,YES
8,20,14,16,19,16,0.612864923811159,0.7100693211417015,1.8152661768567588,0.3298693409333724,1.0664452806947236,YES
9,13,26,18,16,13,0.3455261192171687,0.7001910603552095,0.2055655993286494,-1.2212383479671234,-0.1261000202522289,YES
10,10,18,27,19,10,0.31827028443635913,0.2224636495973893,-1.0664814640862537,-3.508795028303915,-0.5279360255338981,YES
11,25,26,23,10,17,0.2882976315321807,0.3874343257250411,-0.3070917374001822,0.8565227801885615,0.8387891862103514,YES
12,13,12,10,10,22,0.7916292205580819,0.6946607285786529,-0.178917849660791,1.4313397627459492,-0.5454833760966458,YES
13,18,13,24,21,12,0.6638456622149181,0.256446148112924,2.211200571329381,0.7792814784299302,1.063786100625869,YES
14,16,15,10,17,12,0.607968907970123,0.38580938295527223,0.8049750316135132,-0.16723546089484076,0.8531488821375264,YES
15,26,22,24,13,15,0.6561763826232003,0.5422909983594691,0.20306394621871987,0.7711809502120162,2.5290136599914668,YES
16,16,16,19,22,14,0.3000289918773407,0.6999484780234014,0.34273275806079584,-1.453874974810294,-1.297648244259766,YES
17,26,14,13,21,13,0.7371125174171578,0.42719738984965905,-0.3603034963869588,-0.39489774256712085,0.9037600717133996,YES
18,12,11,10,29,14,0.7657270535318901,0.6058105064703205,-0.38861023741856476,0.35415071078382715,-0.6917795284547026,YES
19,11,14,26,19,22,0.32907483308429925,0.25865927323661164,-0.7502493215636146,0.08561239285010158,-0.07013811424023964,YES
20,10,19,25,11,29,0.7069801859942195,0.32868647082819435,-1.5074752384423142,-1.9240763880077054,1.4714412674521462,YES
21,21,20,22,16,28,0.4395869218127163,0.38655372825170453,-0.4560813236382133,0.6068256113960567,-0.20427112569721634,YES
22,20,17,22,29,27,0.3121447371839401,0.7879309874979268,0.5085802056787584,-0.5479854872310063,-0.15288822077000835,YES
23,12,11,16,14,17,0.23982667013964537,0.7854132411221766,-0.6464987563443315,0.11881352194277701,0.8382799941867849,YES
24,28,23,26,11,19,0.2968808601058839,0.21969601892100324,0.15420189682051966,1.0442062862360288,-1.1389637093727456,YES
25,28,13,15,13,15,0.7639257435957174,0.5344815542361276,1.9777333868582139,-1.3324979655146767,-0.22005868776022308,YES
26,21,13,25,17,15,0.7482758498695721,0.25367858116168895,-0.22472257241062588,1.1681764869480613,-2.1620361628782976,YES
27,14,12,21,12,22,0.6143012240060532,0.6015085663287136,0.23649789146055591,1.137020164606109,0.16500433189638772,YES
28,29,29,11,10,11,0.3828022879527452,0.795114568433898,-1.6106718764160082,1.018064662623152,-0.5889869097998675,YES
29,19,12,27,19,11,0.22144152415215107,0.6913943756923118,-1.107992179820501,-0.9554699912061946,0.229457735914431,YES
30,22,23,10,21,11,0.3365099412522564,0.6303258071329731,1.2926501614118378,1.8532089593863543,1.383085026174221,YES
31,11,18,16,10,12,0.7091872256715988,0.4050563540000556,0.24720291867808183,0.21217711999207503,-0.30279394297317613,YES
32,14,22,20,28,12,0.5898367344433608,0.7455392670444114,1.1392466545478037,-1.6800819451324398,-1.543911185329124,YES
33,21,12,10,27,12,0.26586014105104705,0.6391233631191686,-0.1441885534147814,0.5202248224884648,0.08796606716391871,YES
34,22,29,26,12,23,0.7734352476843345,0.7662290787687958,1.3671707319474247,0.21199578238103203,0.35299227287834833,YES
35,19,12,20,13,13,0.6255872123749935,0.39714384286332316,1.904050770382826,0.730449290013683,0.0920442929894876,YES
36,15,18,24,23,14,0.44757302264911814,0.2915547055276354,-1.3146144812917935,-1.0427132511339818,-1.0543407497919122,YES
37,26,10,11,21,25,0.7039209677619718,0.3391485688460545,1.264701127249965,-1.5627357556415058,1.6730086827776667,YES
38,11,10,18,19,16,0.485612774452097,0.7721734197464962,-0.17453361271270942,-0.06818729606127093,0.9430145214379511,YES
39,22,23,15,11,24,0.6042523931082876,0.22198661451162108,-0.45712159531193947,-2.1577783993748256,2.025017967412432,YES
40,14,10,18,11,26,0.24467479709956913,0.5482059012784304,-0.014699019337861862,-0.3526166178090324,1.3268210947336545,YES
41,23,27,20,15,27,0.37525893304660235,0.43251053125889954,0.2546749239248563,-2.304319466756814,-0.9718132386156751,YES
42,28,15,15,28,24,0.45414685421892464,0.5463577810732594,0.4302683519452968,0.3309510701981914,1.0118003196642857,YES
